date,entry_time,side,vol,entry,sl,risk_pts,exit_time,reason,pl,pips,be,trail,early,max_locked_R,log,config
2025-12-11,14:31:00,Buy,2.0,48165.99,48115.99,50.0,14:43:05,StopLoss,401.64,203.7,1,4,1,4.0,2025,vol1.4_be0.6_sl50_utc
2025-12-18,14:31:00,Buy,2.0,48234.89,48184.89,50.0,14:33:14,StopLoss,2.64,4.2,1,0,1,,2025,vol1.4_be0.6_sl50_utc
2025-12-19,14:31:00,Buy,2.0,48145.39,48095.39,50.0,14:33:50,StopLoss,1.64,3.7,1,0,1,,2025,vol1.4_be0.6_sl50_utc
2025-12-24,14:31:17,Buy,2.0,48461.99,48411.99,50.0,14:34:11,StopLoss,2.64,4.2,1,0,1,,2025,vol1.4_be0.6_sl50_utc
2026-01-05,14:31:00,Buy,2.0,48559.4,48509.4,50.0,14:35:28,StopLoss,301.54,154.0,1,3,1,3.0,2026,vol1.4_be0.6_sl50_utc
2026-01-07,14:31:00,Buy,2.0,49573.2,49523.2,50.0,14:31:41,StopLoss,1.54,4.0,1,1,0,0.0,2026,vol1.4_be0.6_sl50_utc
2026-01-15,14:31:00,Buy,2.0,49333.4,49283.4,50.0,14:31:09,StopLoss,1.54,4.0,1,0,1,,2026,vol1.4_be0.6_sl50_utc
2026-01-22,14:31:00,Buy,2.0,49423.1,49373.1,50.0,14:32:50,StopLoss,196.54,101.5,1,2,1,2.0,2026,vol1.4_be0.6_sl50_utc
2026-01-26,14:31:00,Buy,2.0,49200.4,49150.4,50.0,14:31:50,StopLoss,102.54,54.5,1,1,1,1.0,2026,vol1.4_be0.6_sl50_utc
2026-01-30,14:31:45,Buy,2.0,48953.2,48903.2,50.0,14:33:48,StopLoss,95.54,51.0,1,2,1,1.0,2026,vol1.4_be0.6_sl50_utc
2026-02-02,14:32:59,Buy,2.0,48925.3,48875.3,50.0,14:36:23,StopLoss,97.54,52.0,1,1,1,1.0,2026,vol1.4_be0.6_sl50_utc
2026-02-06,14:31:00,Buy,2.0,49302.6,49252.6,50.0,14:35:00,StopLoss,299.54,153.0,1,3,1,3.0,2026,vol1.4_be0.6_sl50_utc
2026-02-10,14:31:00,Buy,2.0,50274.0,50224.0,50.0,14:32:33,StopLoss,101.54,54.0,1,1,1,1.0,2026,vol1.4_be0.6_sl50_utc
2026-02-11,14:31:47,Buy,2.0,50466.4,50416.4,50.0,14:32:02,StopLoss,-112.46,-53.0,0,0,0,,2026,vol1.4_be0.6_sl50_utc
2026-02-12,14:31:19,Buy,2.0,50379.7,50329.7,50.0,14:31:28,StopLoss,-116.46,-55.0,0,0,0,,2026,vol1.4_be0.6_sl50_utc
2026-02-17,14:31:00,Buy,2.0,49671.5,49621.5,50.0,14:31:18,StopLoss,-0.46,3.0,1,0,1,,2026,vol1.4_be0.6_sl50_utc
2026-02-23,14:31:00,Buy,2.0,49598.4,49548.4,50.0,14:32:22,StopLoss,96.54,51.5,1,1,1,1.0,2026,vol1.4_be0.6_sl50_utc
2026-02-26,14:32:19,Buy,2.0,49728.8,49678.8,50.0,14:33:16,StopLoss,1.54,4.0,1,0,1,,2026,vol1.4_be0.6_sl50_utc
2026-04-09,15:32:55,Buy,2.0,47978.5,47928.5,50.0,15:38:08,StopLoss,-57.46,-25.5,0,0,1,,2026,vol1.4_be0.6_sl50_utc
2026-04-13,16:20:55,Buy,2.0,47791.2,47741.2,50.0,16:36:04,StopLoss,200.54,103.5,1,3,1,2.0,2026,vol1.4_be0.6_sl50_utc
2026-05-20,15:15:58,Buy,2.0,49867.9,49817.9,50.0,15:17:23,StopLoss,0.54,3.5,1,0,1,,2026,vol1.4_be0.6_sl50_utc
2026-05-27,14:31:00,Buy,2.0,50805.25,50755.25,50.0,14:33:17,StopLoss,-108.46,-51.0,0,0,0,,2026,vol1.4_be0.6_sl50_utc
2026-05-29,14:51:52,Buy,2.0,50933.5,50883.5,50.0,14:52:32,StopLoss,-0.46,3.0,1,0,1,,2026,vol1.4_be0.6_sl50_utc
2026-07-24,15:15:59,Buy,2.0,52056.05,52006.05,50.0,15:18:24,StopLoss,-111.66,-52.6,0,0,0,,2026,vol1.4_be0.6_sl50_utc
