date,reason,range_width,clock,dst,year
2025-08-20,no_breakout,185.0,dst_30,summer (EDT),2025
2025-08-21,no_breakout,175.3000000000029,dst_30,summer (EDT),2025
2025-08-22,vol_filter_rejected,186.0,dst_30,summer (EDT),2025
2025-08-25,no_breakout,106.5,dst_30,summer (EDT),2025
2025-08-26,vol_filter_rejected,101.0,dst_30,summer (EDT),2025
2025-08-27,vol_filter_rejected,93.0,dst_30,summer (EDT),2025
2025-08-28,no_breakout,126.5,dst_30,summer (EDT),2025
2025-08-29,no_breakout,111.19999999999709,dst_30,summer (EDT),2025
2025-09-01,no_breakout,153.5,dst_30,summer (EDT),2025
2025-09-02,no_breakout,332.5,dst_30,summer (EDT),2025
2025-09-03,no_breakout,144.0,dst_30,summer (EDT),2025
2025-09-04,vol_filter_rejected,90.0,dst_30,summer (EDT),2025
2025-09-05,no_breakout,259.5,dst_30,summer (EDT),2025
2025-09-08,no_breakout,101.5,dst_30,summer (EDT),2025
2025-09-09,vol_filter_rejected,92.69999999999709,dst_30,summer (EDT),2025
2025-09-10,no_breakout,209.6999999999971,dst_30,summer (EDT),2025
2025-09-11,vol_filter_rejected,147.5,dst_30,summer (EDT),2025
2025-09-12,no_breakout,84.79999999999563,dst_30,summer (EDT),2025
2025-09-15,vol_filter_rejected,110.5,dst_30,summer (EDT),2025
2025-09-16,no_breakout,114.19999999999709,dst_30,summer (EDT),2025
2025-09-17,vol_filter_rejected,144.5,dst_30,summer (EDT),2025
2025-09-18,no_breakout,373.6999999999971,dst_30,summer (EDT),2025
2025-09-19,no_breakout,228.0,dst_30,summer (EDT),2025
2025-09-22,vol_filter_rejected,125.5,dst_30,summer (EDT),2025
2025-09-23,vol_filter_rejected,82.29999999999563,dst_30,summer (EDT),2025
2025-09-24,no_breakout,107.0,dst_30,summer (EDT),2025
2025-09-25,no_breakout,221.5,dst_30,summer (EDT),2025
2025-09-26,no_range_data,,dst_30,summer (EDT),2025
2025-09-29,no_breakout,108.19999999999709,dst_30,summer (EDT),2025
2025-09-30,vol_filter_rejected,124.0,dst_30,summer (EDT),2025
2025-10-01,vol_filter_rejected,236.6999999999971,dst_30,summer (EDT),2025
2025-10-02,vol_filter_rejected,76.69999999999709,dst_30,summer (EDT),2025
2025-10-03,vol_filter_rejected,122.0,dst_30,summer (EDT),2025
2025-10-06,no_breakout,75.19999999999709,dst_30,summer (EDT),2025
2025-10-07,no_breakout,246.8000000000029,dst_30,summer (EDT),2025
2025-10-08,vol_filter_rejected,124.0,dst_30,summer (EDT),2025
2025-10-09,no_breakout,65.5,dst_30,summer (EDT),2025
2025-10-10,vol_filter_rejected,153.0,dst_30,summer (EDT),2025
2025-10-13,vol_filter_rejected,258.8000000000029,dst_30,summer (EDT),2025
2025-10-14,vol_filter_rejected,326.0,dst_30,summer (EDT),2025
2025-10-15,vol_filter_rejected,144.20000000000437,dst_30,summer (EDT),2025
2025-10-16,no_breakout,188.29999999999563,dst_30,summer (EDT),2025
2025-10-17,range_too_wide,631.0,dst_30,summer (EDT),2025
2025-10-20,vol_filter_rejected,163.0,dst_30,summer (EDT),2025
2025-10-21,vol_filter_rejected,136.6999999999971,dst_30,summer (EDT),2025
2025-10-22,no_breakout,84.0,dst_30,summer (EDT),2025
2025-10-23,vol_filter_rejected,115.5,dst_30,summer (EDT),2025
2025-10-24,vol_filter_rejected,369.1999999999971,dst_30,summer (EDT),2025
2025-10-27,no_breakout,113.70000000000437,dst_30,summer (EDT),2025
2025-10-28,no_breakout,366.5,dst_30,summer (EDT),2025
2025-10-29,vol_filter_rejected,308.6000000000058,dst_30,summer (EDT),2025
2025-10-30,vol_filter_rejected,241.09999999999854,dst_30,summer (EDT),2025
2025-10-31,no_breakout,186.70000000000437,dst_30,summer (EDT),2025
2025-11-03,no_breakout,171.1999999999971,dst_30,winter (EST),2025
2025-11-04,vol_filter_rejected,246.29999999999563,dst_30,winter (EST),2025
2025-11-05,vol_filter_rejected,168.40000000000146,dst_30,winter (EST),2025
2025-11-06,no_breakout,196.09999999999854,dst_30,winter (EST),2025
2025-11-07,no_breakout,308.8999999999942,dst_30,winter (EST),2025
2025-11-10,no_breakout,170.8000000000029,dst_30,winter (EST),2025
2025-11-11,vol_filter_rejected,109.09999999999854,dst_30,winter (EST),2025
2025-11-12,vol_filter_rejected,101.69999999999709,dst_30,winter (EST),2025
2025-11-13,no_breakout,261.8999999999942,dst_30,winter (EST),2025
2025-11-14,no_breakout,394.90000000000146,dst_30,winter (EST),2025
2025-11-17,no_breakout,261.70000000000437,dst_30,winter (EST),2025
2025-11-18,no_breakout,393.6000000000058,dst_30,winter (EST),2025
2025-11-19,vol_filter_rejected,173.79999999999563,dst_30,winter (EST),2025
