date,entry_utc,range_width,entry,exit,reason,R,peak_R,clock,dst,year
2024-07-02,2024-07-02 13:35:00,101.0,39183.7,39132.2,SL,-1.0,0.0,dst_open,summer (EDT),2024
2024-07-08,2024-07-08 13:35:00,125.19999999999709,39641.3,39645.8,SL,0.08737864077669903,0.9320388349514563,dst_open,summer (EDT),2024
2024-07-12,2024-07-12 13:35:00,174.8000000000029,39909.3,39857.8,SL,-1.0,0.1262135922330097,dst_open,summer (EDT),2024
2024-07-16,2024-07-16 13:35:00,244.0,40463.8,40824.3,SL,7.0,8.199999999999916,dst_open,summer (EDT),2024
2024-07-17,2024-07-17 13:35:00,111.19999999999709,41021.4,41072.9,SL,1.0,2.1067961165048543,dst_open,summer (EDT),2024
2024-07-24,2024-07-24 13:35:00,109.0,40266.5,40215.0,SL,-1.0,0.0,dst_open,summer (EDT),2024
2024-07-26,2024-07-26 13:35:00,137.20000000000437,40402.7,40505.7,SL,2.0,3.190291262135979,dst_open,summer (EDT),2024
2024-07-30,2024-07-30 13:35:00,131.0,40724.8,40729.3,SL,0.08737864077669903,1.1650485436893203,dst_open,summer (EDT),2024
2024-08-01,2024-08-01 13:35:00,231.1999999999971,41063.1,41011.6,SL,-1.0,0.0,dst_open,summer (EDT),2024
2024-08-08,2024-08-08 13:35:00,399.29999999999563,39068.9,39073.4,SL,0.08737864077669903,1.3106796116504855,dst_open,summer (EDT),2024
2024-08-13,2024-08-13 13:35:00,301.5,39538.1,39589.6,SL,1.0,2.1067961165048543,dst_open,summer (EDT),2024
2024-08-15,2024-08-15 13:35:00,478.0,40491.5,40440.0,SL,-1.0,0.0,dst_open,summer (EDT),2024
2024-08-19,2024-08-19 13:35:00,96.0,40781.1,40729.6,SL,-1.0,0.24271844660194175,dst_open,summer (EDT),2024
2024-08-22,2024-08-22 13:35:00,83.0,40991.8,40940.3,SL,-1.0,0.442718446601857,dst_open,summer (EDT),2024
2024-08-26,2024-08-26 13:35:00,76.5,41340.4,41391.9,SL,1.0,2.0834951456309834,dst_open,summer (EDT),2024
2024-08-30,2024-08-30 13:35:00,95.0,41491.7,41440.2,SL,-1.0,0.0,dst_open,summer (EDT),2024
2024-09-04,2024-09-04 13:35:00,124.0,41045.4,40993.9,SL,-1.0,0.0,dst_open,summer (EDT),2024
2024-09-16,2024-09-16 13:35:00,141.5,41629.2,41680.7,SL,1.0,2.557281553398143,dst_open,summer (EDT),2024
2024-09-27,2024-09-27 13:35:00,159.5,42356.9,42331.15,SL,-0.5,0.5145631067961165,dst_open,summer (EDT),2024
2024-10-09,2024-10-09 13:35:00,163.6999999999971,42150.1,42201.6,SL,1.0,2.941747572815534,dst_open,summer (EDT),2024
2024-10-11,2024-10-11 13:35:00,136.5,42627.5,42576.0,SL,-1.0,0.3786407766990291,dst_open,summer (EDT),2024
2024-10-16,2024-10-16 13:40:00,81.69999999999709,42851.8,42856.3,SL,0.08737864077669903,1.116504854368932,dst_open,summer (EDT),2024
2024-10-28,2024-10-28 13:35:00,171.29999999999563,42433.0,42437.5,SL,0.08737864077669903,1.0427184466018853,dst_open,summer (EDT),2024
2024-11-01,2024-11-01 13:35:00,209.5,42109.8,42058.3,SL,-1.0,0.0970873786407767,dst_open,summer (EDT),2024
2024-11-05,2024-11-05 14:35:00,89.30000000000291,41903.2,41851.7,SL,-1.0,0.0,dst_open,winter (EST),2024
2024-11-11,2024-11-11 14:35:00,142.0,44459.5,44464.0,SL,0.08737864077669903,0.6699029126213593,dst_open,winter (EST),2024
2024-11-22,2024-11-22 14:35:00,235.0,44046.9,44149.9,SL,2.0,3.295145631067905,dst_open,winter (EST),2024
2024-11-25,2024-11-25 14:35:00,183.0,44800.6,44749.1,SL,-1.0,0.2621359223300971,dst_open,winter (EST),2024
2024-11-27,2024-11-27 14:35:00,150.0,44969.6,44974.1,SL,0.08737864077669903,0.7572815533980582,dst_open,winter (EST),2024
2024-11-28,2024-11-28 15:00:00,71.29999999999563,44838.9,44843.4,SL,0.08737864077669903,0.6019417475728155,dst_open,winter (EST),2024
2024-12-04,2024-12-04 14:35:00,160.5,45020.6,44969.1,SL,-1.0,0.33980582524271846,dst_open,winter (EST),2024
2024-12-06,2024-12-06 14:35:00,173.59999999999854,44900.0,44848.5,SL,-1.0,0.0,dst_open,winter (EST),2024
2024-12-19,2024-12-19 14:35:00,292.5,42690.7,42639.2,SL,-1.0,0.0,dst_open,winter (EST),2024
2024-12-20,2024-12-20 14:35:00,258.8000000000029,42361.1,42309.6,SL,-1.0,0.0,dst_open,winter (EST),2024
2024-12-26,2024-12-26 16:25:00,212.6999999999971,43201.2,43222.7,KILL,0.4174757281553398,0.5533980582524272,dst_open,winter (EST),2024
2025-01-03,2025-01-03 14:35:00,161.79999999999563,42596.2,42544.7,SL,-1.0,0.0,dst_open,winter (EST),2025
2025-01-07,2025-01-07 14:35:00,227.20000000000437,42820.7,42769.2,SL,-1.0,0.0,dst_open,winter (EST),2025
2025-01-13,2025-01-13 14:35:00,188.0,41853.0,41956.0,SL,2.0,3.5242718446601944,dst_open,winter (EST),2025
