date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow,dt,usd,year,month,week,week_start
2024-08-15,LONG,2024-08-15 10:00:00-04:00,19321.4,19281.4,19441.4,40,120.0,TP,19441.4,120.0,3.0,23,115,-19.5,121.4,265.4,2426,1.275,1.027,1.229,2362.7,3,2024-08-15,300.0,2024,2024-08,2024-W33,2024-08-12
2024-08-21,LONG,2024-08-21 10:00:00-04:00,19810.6,19770.6,19930.6,40,120.0,SL,19770.6,-40.0,-1.0,2,10,-43.1,13.3,72.4,2328,1.786,1.032,1.598,2256.0,2,2024-08-21,-100.0,2024,2024-08,2024-W34,2024-08-19
2024-08-23,LONG,2024-08-23 10:00:00-04:00,19763.2,19723.2,19883.2,40,120.0,SL,19723.2,-40.0,-1.0,1,5,-74.2,19.9,106.1,2516,1.948,1.17,2.024,2151.0,4,2024-08-23,-100.0,2024,2024-08,2024-W34,2024-08-19
2024-08-26,SHORT,2024-08-26 10:00:00-04:00,19651.2,19691.2,19531.2,40,120.0,TP,19531.2,120.0,3.0,6,30,-6.9,174.7,100.0,2280,1.57,0.986,1.42,2311.7,0,2024-08-26,300.0,2024,2024-08,2024-W35,2024-08-26
2024-08-28,SHORT,2024-08-28 10:00:00-04:00,19486.3,19526.3,19366.3,40,120.0,SL,19526.3,-40.0,-1.0,5,25,-42.0,37.0,94.0,2266,1.603,0.969,1.305,2338.7,2,2024-08-28,-100.0,2024,2024-08,2024-W35,2024-08-26
2024-08-29,LONG,2024-08-29 10:00:00-04:00,19559.9,19519.9,19679.9,40,120.0,SL,19519.9,-40.0,-1.0,1,5,-42.3,12.0,206.9,2468,1.417,1.015,1.466,2430.7,3,2024-08-29,-100.0,2024,2024-08,2024-W35,2024-08-26
2024-08-30,LONG,2024-08-30 10:00:00-04:00,19545.2,19505.2,19665.2,40,120.0,SL,19505.2,-40.0,-1.0,3,15,-45.6,4.6,119.9,2328,1.407,1.0,1.386,2327.0,4,2024-08-30,-100.0,2024,2024-08,2024-W35,2024-08-26
2024-09-02,LONG,2024-09-02 10:35:00-04:00,19601.8,19561.8,19721.8,40,120.0,TIMEOUT,19597.4,-4.4,-0.11,28,140,-22.5,17.8,123.9,1214,1.524,1.4,2.063,867.0,0,2024-09-02,-11.0,2024,2024-09,2024-W36,2024-09-02
2024-09-03,SHORT,2024-09-03 10:00:00-04:00,19290.7,19330.7,19170.7,40,120.0,TP,19170.7,120.0,3.0,9,45,-16.0,159.2,197.9,2492,1.54,1.03,1.556,2420.3,1,2024-09-03,300.0,2024,2024-09,2024-W36,2024-09-02
2024-09-04,LONG,2024-09-04 10:05:00-04:00,18929.6,18889.6,19049.6,40,120.0,SL,18889.6,-40.0,-1.0,1,5,-50.4,27.0,110.6,2482,1.47,1.02,1.354,2432.3,2,2024-09-04,-100.0,2024,2024-09,2024-W36,2024-09-02
2024-09-05,LONG,2024-09-05 10:00:00-04:00,19042.3,19002.3,19162.3,40,120.0,SL,19002.3,-40.0,-1.0,2,10,-53.9,38.0,172.6,2368,1.28,0.986,1.289,2402.0,3,2024-09-05,-100.0,2024,2024-09,2024-W36,2024-09-02
2024-09-09,LONG,2024-09-09 10:00:00-04:00,18645.0,18605.0,18765.0,40,120.0,SL,18605.0,-40.0,-1.0,4,20,-53.8,44.0,98.9,2208,1.455,0.932,1.183,2369.8,0,2024-09-09,-100.0,2024,2024-09,2024-W37,2024-09-09
2024-09-10,LONG,2024-09-10 10:00:00-04:00,18751.7,18711.7,18871.7,40,120.0,SL,18711.7,-40.0,-1.0,2,10,-83.0,35.8,194.7,2280,1.54,0.967,1.359,2358.3,1,2024-09-10,-100.0,2024,2024-09,2024-W37,2024-09-09
2024-09-12,SHORT,2024-09-12 10:00:00-04:00,19219.4,19259.4,19099.4,40,120.0,SL,19259.4,-40.0,-1.0,2,10,-78.4,17.3,93.2,2466,1.333,1.016,1.422,2427.7,3,2024-09-12,-100.0,2024,2024-09,2024-W37,2024-09-09
2024-09-13,LONG,2024-09-13 10:00:00-04:00,19463.2,19423.2,19583.2,40,120.0,SL,19423.2,-40.0,-1.0,6,30,-68.0,45.2,71.0,1718,1.462,1.023,1.494,1680.0,4,2024-09-13,-100.0,2024,2024-09,2024-W37,2024-09-09
2024-09-16,SHORT,2024-09-16 10:20:00-04:00,19397.4,19437.4,19277.4,40,120.0,SL,19437.4,-40.0,-1.0,64,320,-43.1,104.5,122.4,1556,1.237,0.94,0.774,1655.0,0,2024-09-16,-100.0,2024,2024-09,2024-W38,2024-09-16
2024-09-19,LONG,2024-09-19 10:10:00-04:00,19820.1,19780.1,19940.1,40,120.0,TP,19940.1,120.0,3.0,42,210,-11.0,123.1,193.3,1628,1.223,0.967,0.982,1683.0,3,2024-09-19,300.0,2024,2024-09,2024-W38,2024-09-16
2024-09-24,SHORT,2024-09-24 10:00:00-04:00,19779.2,19819.2,19659.2,40,120.0,SL,19819.2,-40.0,-1.0,2,10,-43.6,15.5,127.5,1694,1.599,1.069,1.801,1584.3,1,2024-09-24,-100.0,2024,2024-09,2024-W39,2024-09-23
2024-09-25,LONG,2024-09-25 10:00:00-04:00,20009.7,19969.7,20129.7,40,120.0,SL,19969.7,-40.0,-1.0,22,110,-49.4,39.4,91.1,1566,1.591,0.965,1.353,1622.7,2,2024-09-25,-100.0,2024,2024-09,2024-W39,2024-09-23
2024-09-26,SHORT,2024-09-26 10:00:00-04:00,20195.8,20235.8,20075.8,40,120.0,TP,20075.8,120.0,3.0,9,45,-5.0,129.7,119.7,1608,1.33,0.96,1.204,1674.3,3,2024-09-26,300.0,2024,2024-09,2024-W39,2024-09-23
2024-10-01,SHORT,2024-10-01 10:00:00-04:00,19842.7,19882.7,19722.7,40,120.0,TP,19722.7,120.0,3.0,2,10,0.0,121.4,109.1,1760,1.629,1.033,1.596,1703.3,1,2024-10-01,300.0,2024,2024-10,2024-W40,2024-09-30
2024-10-03,LONG,2024-10-03 10:00:00-04:00,19887.8,19847.8,20007.8,40,120.0,SL,19847.8,-40.0,-1.0,2,10,-108.3,23.0,142.9,1684,1.338,1.013,1.481,1662.0,3,2024-10-03,-100.0,2024,2024-10,2024-W40,2024-09-30
2024-10-08,LONG,2024-10-08 10:00:00-04:00,20000.2,19960.2,20120.2,40,120.0,TP,20120.2,120.0,3.0,66,330,-32.0,122.2,163.3,2222,1.67,0.98,1.422,2268.3,1,2024-10-08,300.0,2024,2024-10,2024-W41,2024-10-07
2024-10-09,LONG,2024-10-09 10:10:00-04:00,20116.4,20076.4,20236.4,40,120.0,TP,20236.4,120.0,3.0,18,90,-6.8,120.5,104.5,2126,1.463,0.946,1.052,2247.7,2,2024-10-09,300.0,2024,2024-10,2024-W41,2024-10-07
2024-10-11,LONG,2024-10-11 10:10:00-04:00,20258.6,20218.6,20378.6,40,120.0,SL,20218.6,-40.0,-1.0,8,40,-46.4,43.1,92.9,2152,1.372,1.001,1.139,2149.0,4,2024-10-11,-100.0,2024,2024-10,2024-W41,2024-10-07
2024-10-14,LONG,2024-10-14 10:00:00-04:00,20485.3,20445.3,20605.3,40,120.0,SL,20445.3,-40.0,-1.0,3,15,-61.5,3.2,141.9,1970,1.829,0.935,1.301,2106.7,0,2024-10-14,-100.0,2024,2024-10,2024-W42,2024-10-14
2024-10-15,SHORT,2024-10-15 10:25:00-04:00,20348.3,20388.3,20228.3,40,120.0,TP,20228.3,120.0,3.0,2,10,-0.5,155.5,87.0,2226,1.435,1.021,0.998,2180.7,1,2024-10-15,300.0,2024,2024-10,2024-W42,2024-10-14
2024-10-16,SHORT,2024-10-16 10:00:00-04:00,20094.5,20134.5,19974.5,40,120.0,SL,20134.5,-40.0,-1.0,2,10,-49.8,14.5,61.8,2320,1.806,1.001,1.495,2318.3,2,2024-10-16,-100.0,2024,2024-10,2024-W42,2024-10-14
2024-10-18,LONG,2024-10-18 10:05:00-04:00,20355.2,20315.2,20475.2,40,120.0,SL,20315.2,-40.0,-1.0,2,10,-43.8,9.0,110.6,2074,1.537,0.914,1.007,2269.0,4,2024-10-18,-100.0,2024,2024-10,2024-W42,2024-10-14
2024-10-21,LONG,2024-10-21 10:00:00-04:00,20349.3,20309.3,20469.3,40,120.0,SL,20309.3,-40.0,-1.0,7,35,-50.3,55.5,116.3,1948,1.618,0.925,1.232,2106.3,0,2024-10-21,-100.0,2024,2024-10,2024-W43,2024-10-21
2024-10-22,LONG,2024-10-22 10:05:00-04:00,20346.2,20306.2,20466.2,40,120.0,SL,20306.2,-40.0,-1.0,8,40,-42.1,25.1,127.3,2240,1.513,1.02,1.442,2195.3,1,2024-10-22,-100.0,2024,2024-10,2024-W43,2024-10-21
2024-10-23,SHORT,2024-10-23 10:00:00-04:00,20241.6,20281.6,20121.6,40,120.0,SL,20281.6,-40.0,-1.0,6,30,-56.2,37.9,117.5,2224,1.768,1.071,1.742,2076.7,2,2024-10-23,-100.0,2024,2024-10,2024-W43,2024-10-21
2024-10-25,LONG,2024-10-25 10:00:00-04:00,20542.3,20502.3,20662.3,40,120.0,SL,20502.3,-40.0,-1.0,9,45,-57.1,27.7,129.1,2160,1.802,1.044,1.634,2069.7,4,2024-10-25,-100.0,2024,2024-10,2024-W43,2024-10-21
2024-10-28,SHORT,2024-10-28 10:00:00-04:00,20444.0,20484.0,20324.0,40,120.0,SL,20484.0,-40.0,-1.0,8,40,-45.1,18.3,95.4,2172,1.586,0.957,1.306,2269.3,0,2024-10-28,-100.0,2024,2024-10,2024-W44,2024-10-28
2024-10-29,LONG,2024-10-29 10:20:00-04:00,20462.4,20422.4,20582.4,40,120.0,SL,20422.4,-40.0,-1.0,1,5,-60.1,14.2,93.0,2106,1.382,0.959,0.919,2195.7,1,2024-10-29,-100.0,2024,2024-10,2024-W44,2024-10-28
2024-10-31,SHORT,2024-10-31 10:00:00-04:00,20034.7,20074.7,19914.7,40,120.0,SL,20074.7,-40.0,-1.0,3,15,-44.5,36.2,127.4,2364,1.404,0.984,1.363,2401.7,3,2024-10-31,-100.0,2024,2024-10,2024-W44,2024-10-28
2024-11-01,LONG,2024-11-01 10:05:00-04:00,20055.8,20015.8,20175.8,40,120.0,SL,20015.8,-40.0,-1.0,51,255,-44.9,112.8,90.7,2272,1.34,1.012,1.273,2245.7,4,2024-11-01,-100.0,2024,2024-11,2024-W44,2024-10-28
2024-11-05,LONG,2024-11-05 10:00:00-05:00,20187.9,20147.9,20307.9,40,120.0,SL,20147.9,-40.0,-1.0,11,55,-53.5,15.9,68.7,2218,1.718,1.004,1.5,2209.0,1,2024-11-05,-100.0,2024,2024-11,2024-W45,2024-11-04
2024-11-06,LONG,2024-11-06 10:10:00-05:00,20645.0,20605.0,20765.0,40,120.0,SL,20605.0,-40.0,-1.0,8,40,-42.9,71.8,149.0,2236,1.256,0.926,0.849,2414.3,2,2024-11-06,-100.0,2024,2024-11,2024-W45,2024-11-04
2024-11-07,LONG,2024-11-07 10:00:00-05:00,21006.9,20966.9,21126.9,40,120.0,TP,21126.9,120.0,3.0,58,290,-21.3,120.1,111.5,2074,1.433,0.956,1.25,2169.3,3,2024-11-07,300.0,2024,2024-11,2024-W45,2024-11-04
