date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow,dt,usd,year,month,week,week_start
2023-11-06,SHORT,2023-11-06 10:00:00-05:00,34052.7,34127.7,33790.2,75,262.5,TIMEOUT,34078.1,-25.4,-0.339,72,360,-71.2,68.3,39.0,2216,1.614,0.955,1.337,2320.3,0,2023-11-06,-33.9,2023,2023-11,2023-W45,2023-11-06
2023-11-07,LONG,2023-11-07 10:00:00-05:00,34099.1,34024.1,34361.6,75,262.5,TIMEOUT,34154.7,55.6,0.741,72,360,-21.3,107.2,64.8,2122,1.432,0.928,1.195,2286.7,1,2023-11-07,74.1,2023,2023-11,2023-W45,2023-11-06
2023-11-09,SHORT,2023-11-09 10:00:00-05:00,34062.1,34137.1,33799.6,75,262.5,TIMEOUT,33888.9,173.2,2.309,72,360,-53.9,219.2,58.2,2266,1.413,0.981,1.368,2310.7,3,2023-11-09,230.9,2023,2023-11,2023-W45,2023-11-06
2023-11-10,SHORT,2023-11-10 10:00:00-05:00,33932.2,34007.2,33669.7,75,262.5,SL,34007.2,-75.0,-1.0,13,65,-106.8,41.4,98.2,2400,1.542,1.042,1.696,2302.7,4,2023-11-10,-100.0,2023,2023-11,2023-W45,2023-11-06
2023-11-17,SHORT,2023-11-17 10:00:00-05:00,34941.8,35016.8,34679.3,75,262.5,TIMEOUT,34948.4,-6.6,-0.088,72,360,-43.8,67.0,151.9,2162,1.335,0.958,1.23,2256.7,4,2023-11-17,-8.8,2023,2023-11,2023-W46,2023-11-13
2023-11-20,LONG,2023-11-20 10:00:00-05:00,35012.3,34937.3,35274.8,75,262.5,TIMEOUT,35148.4,136.1,1.815,72,360,-28.1,219.3,60.5,2182,1.543,0.983,1.412,2220.0,0,2023-11-20,181.5,2023,2023-11,2023-W47,2023-11-20
2023-11-21,SHORT,2023-11-21 10:00:00-05:00,35074.8,35149.8,34812.3,75,262.5,TIMEOUT,35071.3,3.5,0.047,72,360,-34.8,34.1,47.2,2140,1.443,0.977,1.372,2190.3,1,2023-11-21,4.7,2023,2023-11,2023-W47,2023-11-20
2023-11-24,LONG,2023-11-24 10:00:00-05:00,35375.3,35300.3,35637.8,75,262.5,TIMEOUT,35395.1,19.8,0.264,38,190,-45.0,25.6,50.7,2354,1.647,0.933,1.27,2523.0,4,2023-11-24,26.4,2023,2023-11,2023-W47,2023-11-20
2023-11-28,LONG,2023-11-28 10:20:00-05:00,35376.7,35301.7,35639.2,75,262.5,TIMEOUT,35434.1,57.4,0.765,68,340,-25.8,155.8,69.6,2434,1.271,0.94,0.783,2588.0,1,2023-11-28,76.5,2023,2023-11,2023-W48,2023-11-27
2023-11-29,SHORT,2023-11-29 10:10:00-05:00,35466.9,35541.9,35204.4,75,262.5,SL,35541.9,-75.0,-1.0,28,140,-80.5,45.6,70.1,2748,1.4,1.009,1.193,2723.7,2,2023-11-29,-100.0,2023,2023-11,2023-W48,2023-11-27
2023-11-30,LONG,2023-11-30 10:10:00-05:00,35703.6,35628.6,35966.1,75,262.5,TP,35966.1,262.5,3.5,69,345,-58.7,266.0,77.9,2664,1.231,0.967,0.933,2754.3,3,2023-11-30,350.0,2023,2023-11,2023-W48,2023-11-27
2023-12-01,LONG,2023-12-01 10:00:00-05:00,36053.7,35978.7,36316.2,75,262.5,SL,35978.7,-75.0,-1.0,6,30,-84.1,3.8,47.6,2950,1.735,1.099,1.881,2684.3,4,2023-12-01,-100.0,2023,2023-12,2023-W48,2023-11-27
2023-12-05,SHORT,2023-12-05 10:05:00-05:00,36074.3,36149.3,35811.8,75,262.5,SL,36149.3,-75.0,-1.0,11,55,-91.3,47.9,75.1,2180,1.472,1.015,1.337,2148.7,1,2023-12-05,-100.0,2023,2023-12,2023-W49,2023-12-04
2023-12-06,LONG,2023-12-06 10:10:00-05:00,36263.9,36188.9,36526.4,75,262.5,SL,36188.9,-75.0,-1.0,8,40,-83.4,11.2,77.6,2108,1.379,0.971,1.063,2171.3,2,2023-12-06,-100.0,2023,2023-12,2023-W49,2023-12-04
2023-12-08,LONG,2023-12-08 10:00:00-05:00,36211.2,36136.2,36473.7,75,262.5,SL,36136.2,-75.0,-1.0,15,75,-87.4,55.3,148.2,2448,1.325,1.098,1.558,2230.0,4,2023-12-08,-100.0,2023,2023-12,2023-W49,2023-12-04
2023-12-11,LONG,2023-12-11 10:05:00-05:00,36303.9,36228.9,36566.4,75,262.5,TIMEOUT,36403.9,100.0,1.333,71,355,-12.6,123.6,50.3,1966,1.441,0.906,1.007,2170.0,0,2023-12-11,133.3,2023,2023-12,2023-W50,2023-12-11
2023-12-13,SHORT,2023-12-13 10:00:00-05:00,36557.0,36632.0,36294.5,75,262.5,SL,36632.0,-75.0,-1.0,48,240,-225.7,10.3,81.9,2070,1.469,0.937,1.178,2209.0,2,2023-12-13,-100.0,2023,2023-12,2023-W50,2023-12-11
