score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
5.364853,1.461839,2.567246,0.553571,0.025536,217.731699,56,1.0,10,10,19,0.5,3,30.0
5.364853,1.461839,2.567246,0.553571,0.025536,217.731699,56,1.0,10,10,19,0.5,4,30.0
5.363556,1.481588,2.53889,0.555556,0.017609,129.991707,45,2.0,10,9,18,0.5,2,30.0
5.360854,1.478379,2.525691,0.571429,0.016241,234.482194,56,1.5,14,11,20,0.5,2,30.0
5.359304,1.47557,2.529513,0.56,0.018273,189.892497,50,1.5,14,10,19,0.5,2,30.0
5.358505,1.464566,2.542765,0.553846,0.038224,168.96472,65,1.0,10,12,18,0.5,3,30.0
5.358505,1.464566,2.542765,0.553846,0.038224,168.96472,65,1.0,10,12,18,0.5,4,30.0
5.358329,1.492313,2.470941,0.631579,0.017796,124.658913,57,2.5,18,10,22,1.0,3,50.0
5.358329,1.492313,2.470941,0.631579,0.017796,124.658913,57,2.5,18,10,22,1.0,4,50.0
5.355357,1.474223,2.52342,0.54902,0.014219,179.07149,51,2.0,10,10,19,0.5,2,30.0
5.355317,1.475116,2.517094,0.559322,0.012269,250.755453,59,2.0,12,12,18,0.5,2,30.0
5.353382,1.51656,2.454916,0.574074,0.017517,305.319371,108,2.0,14,12,18,1.0,2,50.0
5.352338,1.517401,2.455578,0.56383,0.020529,202.010451,94,2.5,14,12,18,1.0,3,30.0
5.350262,1.474695,2.495914,0.568966,0.018072,214.243206,58,1.5,14,11,18,0.5,2,30.0
5.349728,1.513508,2.446296,0.574074,0.022362,317.647322,108,1.5,14,12,18,1.0,2,50.0
5.349588,1.471768,2.497472,0.568182,0.022434,135.500856,44,1.5,14,9,18,0.5,2,30.0
5.34827,1.464529,2.51443,0.542373,0.022864,241.821893,59,1.0,10,11,19,0.5,2,30.0
5.345926,1.470369,2.485274,0.571429,0.012312,229.347334,56,2.0,14,11,20,0.5,2,30.0
5.345824,1.46737,2.50222,0.54386,0.014017,205.984596,57,2.0,10,12,19,0.5,2,30.0
5.345816,1.470483,2.489787,0.561404,0.012704,217.131179,57,2.0,10,11,20,0.5,2,30.0
5.342984,1.466852,2.485286,0.56,0.013823,185.91327,50,2.0,14,10,19,0.5,2,30.0
5.342028,1.456001,2.50283,0.54386,0.027804,204.213108,57,1.0,10,12,19,0.5,2,30.0
5.341653,1.440454,2.513868,0.555556,0.032513,180.29492,54,1.0,10,9,25,0.5,3,30.0
5.341653,1.440454,2.513868,0.555556,0.032513,180.29492,54,1.0,10,9,25,0.5,4,30.0
5.341406,1.469945,2.470702,0.571429,0.022391,127.124678,42,1.5,14,8,19,0.5,2,30.0
5.339953,1.464365,2.476266,0.563636,0.016711,223.936661,55,1.5,16,11,20,0.5,2,30.0
5.339953,1.507651,2.429805,0.555556,0.016961,158.189036,63,2.5,14,12,19,1.0,2,50.0
5.338702,1.441005,2.501168,0.56,0.027558,203.796447,50,1.0,12,9,25,0.5,2,30.0
5.337938,1.453714,2.480774,0.566038,0.019662,201.627321,53,1.5,14,9,26,0.5,3,30.0
5.337938,1.453714,2.480774,0.566038,0.019662,201.627321,53,1.5,14,9,26,0.5,4,30.0
